experiment_id,model,block_number,sublayer,bit_width,latency_avg_ms,latency_min_ms,latency_max_ms,latency_std_ms,tokens_per_sec,avg_cpu_mw,avg_gpu_mw,avg_ane_mw,avg_combined_mw,peak_power_mw,temperature,energy_joules,memory_peak_mb,memory_avg_mb,execution_device,duration_sec,samples_collected,timestamp
profile_Llama-3.2-1B-Instruct_2026-07-10_11-24-02,meta-llama/Llama-3.2-1B-Instruct,0,mlp,int8,2788.43,1677.29,13427.5,3364.43,11.47,1898.891,969.739,622.609,3491.348,6248.0,Nominal,72.322,1469.8,0,ANE,30.68,58,2026-07-10T11:24:53.269702
profile_Llama-3.2-1B-Instruct_2026-07-10_11-24-02,meta-llama/Llama-3.2-1B-Instruct,1,mlp,int8,2519.41,1700.02,11429.95,2686.63,12.7,1935.857,1196.653,634.531,3767.143,8430.0,Nominal,74.2215,2173.0,0,ANE,30.24,57,2026-07-10T11:26:06.362983
profile_Llama-3.2-1B-Instruct_2026-07-10_11-24-02,meta-llama/Llama-3.2-1B-Instruct,2,mlp,int8,2417.46,1715.94,10495.14,2331.89,13.24,2080.564,1214.564,628.2,3923.4,6242.0,Nominal,82.5,1471.0,0,ANE,31.43,60,2026-07-10T11:27:18.840102
profile_Llama-3.2-1B-Instruct_2026-07-10_11-24-02,meta-llama/Llama-3.2-1B-Instruct,3,mlp,int8,2438.21,1717.18,11008.99,2474.18,13.12,1750.074,874.296,630.444,3254.944,6069.0,Nominal,73.006,1175.5,0,ANE,31.7,60,2026-07-10T11:28:34.530706
profile_Llama-3.2-1B-Instruct_2026-07-10_11-24-02,meta-llama/Llama-3.2-1B-Instruct,4,mlp,int8,2569.83,1728.21,11730.76,2762.13,12.45,1742.3,1181.74,629.7,3553.76,6601.0,Moderate,69.6655,1210.6,0,ANE,30.84,58,2026-07-10T11:29:49.692435
profile_Llama-3.2-1B-Instruct_2026-07-10_11-24-02,meta-llama/Llama-3.2-1B-Instruct,5,mlp,int8,2506.88,1726.72,11011.87,2564.36,12.76,1866.412,1255.51,623.039,3744.961,6912.0,Moderate,73.0315,1715.6,0,ANE,30.09,57,2026-07-10T11:31:02.825842
profile_Llama-3.2-1B-Instruct_2026-07-10_11-24-02,meta-llama/Llama-3.2-1B-Instruct,6,mlp,int8,2591.36,1725.43,12008.56,2839.41,12.35,1807.608,1265.922,623.902,3697.549,6516.0,Heavy,72.573,2631.0,0,ANE,31.1,59,2026-07-10T11:32:20.479697
profile_Llama-3.2-1B-Instruct_2026-07-10_11-24-02,meta-llama/Llama-3.2-1B-Instruct,7,mlp,int8,2639.85,1735.07,12521.53,2979.44,12.12,1857.98,1139.196,620.569,3617.804,6769.0,Heavy,74.217,2804.8,0,ANE,31.68,60,2026-07-10T11:33:34.481657
profile_Llama-3.2-1B-Instruct_2026-07-10_11-24-02,meta-llama/Llama-3.2-1B-Instruct,8,mlp,int8,3119.0,1720.25,15680.0,4187.0,10.26,1753.0,1006.955,590.409,3350.364,6161.0,Heavy,66.1595,1721.4,0,ANE,31.19,59,2026-07-10T11:34:49.370434
profile_Llama-3.2-1B-Instruct_2026-07-10_11-24-02,meta-llama/Llama-3.2-1B-Instruct,9,mlp,int8,2433.8,1719.91,10961.88,2461.84,13.14,1544.944,1210.667,635.63,3391.259,6206.0,Heavy,67.701,1430.1,0,ANE,31.65,60,2026-07-10T11:36:03.279246
profile_Llama-3.2-1B-Instruct_2026-07-10_11-24-02,meta-llama/Llama-3.2-1B-Instruct,10,mlp,int8,3109.97,1712.96,15616.91,4168.98,10.29,2049.721,1200.651,609.349,3859.698,7619.0,Heavy,72.213,3566.5,0,ANE,31.1,59,2026-07-10T11:37:20.140956
profile_Llama-3.2-1B-Instruct_2026-07-10_11-24-02,meta-llama/Llama-3.2-1B-Instruct,11,mlp,int8,3085.3,1715.15,15103.83,4006.9,10.37,2355.977,1061.25,592.614,4009.886,9735.0,Heavy,79.453,4138.2,0,ANE,30.86,58,2026-07-10T11:38:35.687504
profile_Llama-3.2-1B-Instruct_2026-07-10_11-24-02,meta-llama/Llama-3.2-1B-Instruct,12,mlp,int8,3049.0,1713.86,15030.01,3993.67,10.49,2123.477,927.523,597.068,3648.159,8796.0,Heavy,73.613,3792.2,0,ANE,30.5,58,2026-07-10T11:39:51.728299
profile_Llama-3.2-1B-Instruct_2026-07-10_11-24-02,meta-llama/Llama-3.2-1B-Instruct,13,mlp,int8,3008.71,1639.73,15013.0,4001.47,10.63,2070.558,64.977,601.884,2736.977,7585.0,Heavy,70.987,3001.2,0,ANE,30.09,57,2026-07-10T11:41:06.407608
profile_Llama-3.2-1B-Instruct_2026-07-10_11-24-02,meta-llama/Llama-3.2-1B-Instruct,14,mlp,int8,3047.59,1657.66,15360.48,4104.33,10.5,1766.14,21.419,608.814,2396.047,5329.0,Heavy,67.0995,2551.7,0,ANE,30.48,58,2026-07-10T11:42:23.007953
profile_Llama-3.2-1B-Instruct_2026-07-10_11-24-02,meta-llama/Llama-3.2-1B-Instruct,15,mlp,int8,3064.59,1711.9,15195.59,4043.67,10.44,1816.682,1083.182,590.114,3489.909,6191.0,Heavy,68.4285,1908.8,0,ANE,30.65,58,2026-07-10T11:43:41.595085
